key,mean,ci_low,ci_high,mean_pp,low_pp,high_pp,classification,mean_descendant_difference
P_ZERO_Q_HALF|H_BG_STAY_POP|U,0.6295213063557943,0.6270280901590984,0.6324690659840901,62.95213063557943,62.70280901590984,63.24690659840901,positive,
P_ZERO_Q_HALF|H_BG_STAY_POP|U40,0.6397145589192709,0.6213582356770834,0.6578168233235677,63.971455891927086,62.135823567708336,65.78168233235677,positive,
P_ZERO_Q_HALF|H_BG_EFFECT_POP|U,0.00010337829589843774,-0.00048793633778890303,0.0007905340194702125,0.010337829589843774,-0.0487936337788903,0.07905340194702125,unresolved,
P_ZERO_Q_HALF|H_BG_EFFECT_POP|U40,0.001739501953125,-0.001284344991048177,0.004819679260253904,0.1739501953125,-0.12843449910481772,0.4819679260253904,unresolved,
P_HALF_Q_ZERO|F_BG_SWITCH|D40,-0.014485677083333334,-0.023518880208333332,-0.004557291666666667,-1.4485677083333335,-2.351888020833333,-0.4557291666666667,negative,-0.4635416666666667
P_HALF_Q_ZERO|F_BG_STAY|D40,-0.006998697916666667,-0.018961588541666668,0.005533854166666667,-0.6998697916666667,-1.8961588541666667,0.5533854166666667,unresolved,-0.22395833333333334
P_HALF_Q_ZERO|F_BG_EFFECT|D40,-0.007486979166666667,-0.022137451171875,0.007405598958333333,-0.7486979166666667,-2.2137451171875,0.7405598958333333,unresolved,-0.23958333333333334
P_HALF_Q_ZERO|H_BG_SWITCH|D40,0.053873697916666664,0.025795491536458333,0.08479817708333333,5.387369791666666,2.5795491536458335,8.479817708333332,positive,1.7239583333333333
P_HALF_Q_ZERO|H_BG_STAY|D40,0.005615234375,-0.009604899088541667,0.021402994791666668,0.5615234375,-0.9604899088541667,2.140299479166667,unresolved,0.1796875
P_HALF_Q_ZERO|H_BG_EFFECT|D40,0.048258463541666664,0.026444498697916666,0.07283528645833333,4.825846354166666,2.6444498697916665,7.283528645833333,positive,1.5442708333333333
P_HALF_Q_ZERO|F_BG_SWITCH_POP|U,0.6072160085042317,0.6066594012578328,0.6078236532211303,60.72160085042317,60.66594012578328,60.78236532211303,positive,
P_HALF_Q_ZERO|F_BG_SWITCH_POP|U40,0.6051228841145834,0.6025538762410482,0.6074271519978841,60.512288411458336,60.25538762410482,60.742715199788414,positive,
P_HALF_Q_ZERO|F_BG_STAY_POP|U,0.6071361541748046,0.6065467294057211,0.6077376588185628,60.71361541748046,60.654672940572105,60.77376588185628,positive,
P_HALF_Q_ZERO|F_BG_STAY_POP|U40,0.6058909098307291,0.6022385915120443,0.6093649546305339,60.589090983072914,60.22385915120443,60.93649546305338,positive,
P_HALF_Q_ZERO|F_BG_EFFECT_POP|U,7.985432942708588e-05,-0.00026635487874348694,0.00040357271830241185,0.007985432942708589,-0.026635487874348693,0.04035727183024118,unresolved,
P_HALF_Q_ZERO|F_BG_EFFECT_POP|U40,-0.0007680257161458334,-0.0026121139526367188,0.0011070251464843708,-0.07680257161458334,-0.2612113952636719,0.11070251464843708,unresolved,
P_HALF_Q_ZERO|H_BG_SWITCH_POP|U,0.6031872431437174,0.6026154120763144,0.6037276649475096,60.31872431437174,60.26154120763144,60.37276649475096,positive,
P_HALF_Q_ZERO|H_BG_SWITCH_POP|U40,0.6052271525065104,0.6010152180989583,0.6092761993408203,60.52271525065104,60.10152180989583,60.92761993408203,positive,
P_HALF_Q_ZERO|H_BG_STAY_POP|U,0.6027025858561198,0.6020077164967854,0.6034291617075602,60.27025858561198,60.20077164967854,60.34291617075602,positive,
P_HALF_Q_ZERO|H_BG_STAY_POP|U40,0.6020965576171875,0.5979755401611329,0.6063340504964192,60.20965576171875,59.79755401611329,60.63340504964192,positive,
P_HALF_Q_ZERO|H_BG_EFFECT_POP|U,0.0004846572875976535,0.00011662960052490062,0.00085311730702718,0.04846572875976535,0.011662960052490063,0.085311730702718,positive,
P_HALF_Q_ZERO|H_BG_EFFECT_POP|U40,0.0031305948893229165,0.0001515706380208334,0.006037457784016927,0.31305948893229163,0.015157063802083339,0.6037457784016927,positive,
P_HALF_Q_HALF|F_BG_SWITCH|D40,0.14371744791666666,0.10270182291666667,0.1869344075520833,14.371744791666666,10.270182291666668,18.69344075520833,positive,4.598958333333333
P_HALF_Q_HALF|F_BG_STAY|D40,-0.010823567708333334,-0.022625732421875,0.003989664713541655,-1.0823567708333335,-2.2625732421875,0.3989664713541655,unresolved,-0.3463541666666667
P_HALF_Q_HALF|F_BG_EFFECT|D40,0.154541015625,0.11310628255208333,0.19735107421874998,15.4541015625,11.310628255208332,19.735107421874996,positive,4.9453125
P_HALF_Q_HALF|H_BG_SWITCH|D40,-0.03125,-0.03125,-0.03125,-3.125,-3.125,-3.125,negative,-1.0
P_HALF_Q_HALF|H_BG_STAY|D40,-0.0038248697916666665,-0.019124348958333332,0.013671875,-0.38248697916666663,-1.9124348958333333,1.3671875,unresolved,-0.12239583333333333
P_HALF_Q_HALF|H_BG_EFFECT|D40,-0.027425130208333332,-0.044921875,-0.012125651041666666,-2.742513020833333,-4.4921875,-1.2125651041666665,negative,-0.8776041666666666
P_HALF_Q_HALF|F_BG_SWITCH_POP|U,0.6195944468180338,0.617874704996745,0.6213059091567994,61.959444681803376,61.7874704996745,62.13059091567994,positive,
P_HALF_Q_HALF|F_BG_SWITCH_POP|U40,0.6246821085611979,0.6160903294881185,0.6343325297037761,62.46821085611979,61.60903294881185,63.43325297037761,positive,
P_HALF_Q_HALF|F_BG_STAY_POP|U,0.6181969960530598,0.6167862955729168,0.6195231310526529,61.81969960530598,61.67862955729168,61.95231310526529,positive,
P_HALF_Q_HALF|F_BG_STAY_POP|U40,0.6181131998697916,0.6112564086914063,0.6252646128336589,61.811319986979164,61.12564086914063,62.52646128336588,positive,
